scope,alpha,bandwidth,distance,pan,own_kbps,own_offload,other_offload,sigma2_het,tau,n_h0_test,n_h1,fp,tp,fpr,fpr_lo,fpr_hi,tpr,tpr_lo,tpr_hi,n_undecidable_h0,n_undecidable_h1
global,0.01,100vs100,1300,PAN1,100,100,100,0.01276187,3.24356,50,100,0,32,0.0,0.0,0.0714,0.32,0.2367,0.4166,0,0
global,0.05,100vs100,1300,PAN1,100,100,100,0.01276187,2.14737,50,100,1,65,0.02,0.0035,0.105,0.65,0.5525,0.7364,0,0
global,0.1,100vs100,1300,PAN1,100,100,100,0.01276187,1.74608,50,100,4,76,0.08,0.0315,0.1884,0.76,0.6677,0.8331,0,0
global,0.01,100vs100,1300,PAN2,100,100,100,0.01276187,3.24356,50,98,0,41,0.0,0.0,0.0714,0.4184,0.3256,0.5173,0,0
global,0.05,100vs100,1300,PAN2,100,100,100,0.01276187,2.14737,50,98,0,72,0.0,0.0,0.0714,0.7347,0.6396,0.812,0,0
global,0.1,100vs100,1300,PAN2,100,100,100,0.01276187,1.74608,50,98,5,80,0.1,0.0435,0.2136,0.8163,0.7282,0.8805,0,0
global,0.01,100vs100,1300,PAN1,100,100,120,0.01276187,3.24356,50,100,0,39,0.0,0.0,0.0714,0.39,0.3002,0.488,0,0
global,0.05,100vs100,1300,PAN1,100,100,120,0.01276187,2.14737,50,100,1,66,0.02,0.0035,0.105,0.66,0.5628,0.7454,0,0
global,0.1,100vs100,1300,PAN1,100,100,120,0.01276187,1.74608,50,100,4,77,0.08,0.0315,0.1884,0.77,0.6785,0.8416,0,0
global,0.01,100vs100,1300,PAN2,100,120,100,0.01276187,3.24356,50,100,0,45,0.0,0.0,0.0714,0.45,0.3561,0.5476,0,0
global,0.05,100vs100,1300,PAN2,100,120,100,0.01276187,2.14737,50,100,1,63,0.02,0.0035,0.105,0.63,0.5322,0.7182,0,0
global,0.1,100vs100,1300,PAN2,100,120,100,0.01276187,1.74608,50,100,2,73,0.04,0.011,0.1346,0.73,0.6357,0.8073,0,0
global,0.01,100vs100,1300,PAN1,100,100,140,0.01276187,3.24356,50,100,0,36,0.0,0.0,0.0714,0.36,0.2727,0.4576,0,0
global,0.05,100vs100,1300,PAN1,100,100,140,0.01276187,2.14737,50,100,1,64,0.02,0.0035,0.105,0.64,0.5424,0.7273,0,0
global,0.1,100vs100,1300,PAN1,100,100,140,0.01276187,1.74608,50,100,4,72,0.08,0.0315,0.1884,0.72,0.6251,0.7986,0,0
global,0.01,100vs100,1300,PAN2,100,140,100,0.01276187,3.24356,50,100,0,32,0.0,0.0,0.0714,0.32,0.2367,0.4166,0,0
global,0.05,100vs100,1300,PAN2,100,140,100,0.01276187,2.14737,50,100,2,63,0.04,0.011,0.1346,0.63,0.5322,0.7182,0,0
global,0.1,100vs100,1300,PAN2,100,140,100,0.01276187,1.74608,50,100,7,78,0.14,0.0695,0.2619,0.78,0.6893,0.85,0,0
global,0.01,100vs100,1300,PAN1,100,100,160,0.01276187,3.24356,50,100,0,35,0.0,0.0,0.0714,0.35,0.2636,0.4475,0,0
