bandwidth,distance,pan1_offload,pan2_offload,pan,best_threshold,TP,FP,FN,TN,precision,recall,fpr,f1,n_interf_seeds,n_no_interf_seeds
100vs100,1300,10,10,PAN1,0.08,86,18,14,82,0.827,0.86,0.18,0.843,100,100
100vs100,1300,10,10,PAN2,0.08,91,14,9,86,0.867,0.91,0.14,0.888,100,100
100vs100,1300,10,20,PAN1,0.06,87,47,13,53,0.649,0.87,0.47,0.744,100,100
100vs100,1300,10,20,PAN2,0.028,98,94,2,6,0.51,0.98,0.94,0.671,100,100
100vs100,1300,10,30,PAN1,0.045,93,74,7,26,0.557,0.93,0.74,0.697,100,100
100vs100,1300,10,30,PAN2,0.011,97,87,3,13,0.527,0.97,0.87,0.683,100,100
100vs100,1300,10,40,PAN1,0.044,90,77,10,23,0.539,0.9,0.77,0.674,100,100
100vs100,1300,10,40,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,10,50,PAN1,0.047,90,71,10,29,0.559,0.9,0.71,0.69,100,100
100vs100,1300,10,50,PAN2,0.007,100,99,0,1,0.503,1.0,0.99,0.669,100,100
100vs100,1300,10,60,PAN1,0.025,100,99,0,1,0.503,1.0,0.99,0.669,100,100
100vs100,1300,10,60,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,10,70,PAN1,0.025,100,99,0,1,0.503,1.0,0.99,0.669,100,100
100vs100,1300,10,70,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,10,80,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,10,80,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,10,90,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,10,90,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,10,100,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,10,100,PAN2,0.006,100,98,0,2,0.505,1.0,0.98,0.671,100,100
100vs100,1300,20,10,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,20,10,PAN2,0.058,87,51,13,49,0.63,0.87,0.51,0.731,100,100
100vs100,1300,20,20,PAN1,0.029,98,95,2,5,0.508,0.98,0.95,0.669,100,100
100vs100,1300,20,20,PAN2,0.039,92,78,8,22,0.541,0.92,0.78,0.681,100,100
100vs100,1300,20,30,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,20,30,PAN2,0.02,80,34,20,66,0.702,0.8,0.34,0.748,100,100
100vs100,1300,20,40,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,20,40,PAN2,0.018,83,53,17,47,0.61,0.83,0.53,0.703,100,100
100vs100,1300,20,50,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,20,50,PAN2,0.017,91,80,9,20,0.532,0.91,0.8,0.672,100,100
100vs100,1300,20,60,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,20,60,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,20,70,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,20,70,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,20,80,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,20,80,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,20,90,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,20,90,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,20,100,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,20,100,PAN2,0.014,90,78,10,22,0.536,0.9,0.78,0.672,100,100
100vs100,1300,30,10,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,30,10,PAN2,0.054,89,62,11,38,0.589,0.89,0.62,0.709,100,100
100vs100,1300,30,20,PAN1,0.015,97,66,3,34,0.595,0.97,0.66,0.738,100,100
100vs100,1300,30,20,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,30,30,PAN1,0.02,86,40,14,60,0.683,0.86,0.4,0.761,100,100
100vs100,1300,30,30,PAN2,0.021,77,26,23,74,0.748,0.77,0.26,0.759,100,100
100vs100,1300,30,40,PAN1,0.016,90,62,10,38,0.592,0.9,0.62,0.714,100,100
